Latitude,Longitude,DepthOfSoil,TotalUnitWeight,N60,FinesContent,PeakGroundAcceleration,GoundWaterLevel,SoilType,ModulusOfElasticity
15.279038,120.568952,1.5,20,13,55.51,0.4,9,ML,20
15.279238,120.568983,1.5,20,13,56.61,0.4,9,ML,27.5
15.279348,120.56922,1.5,20,14,54.99,0.4,9,ML,20
15.279277,120.56927,1.5,20,13,54.42,0.4,9,ML,32.5
15.322512,120.596132,1.5,20,14,21.18,0.35,3,SM,32.5
15.322431,120.596132,1.5,20,14,21.74,0.35,3,SM,27.5
15.322557,120.596316,1.5,21,16,26.54,0.35,3,ML,27.5
15.322509,120.596224,1.5,21,17,25.61,0.35,3,ML,13.5
15.279931,120.569317,1.5,19,10,2.52,0.4,6,SP,13.5
15.279822,120.569431,1.5,19,10,1.96,0.4,6,SP,32.5
15.280222,120.569403,1.5,19,10,2.97,0.4,6,SP,13.5
15.2794012,120.567799,1.5,19,10,4.43,0.4,6,SP,13.5
15.277817,120.52101,1.5,19,10,23.73,0.4,9.5,SM,20
15.277935,120.521199,1.5,20,11,82.01,0.4,9.5,CH,32.5
15.277791,120.521274,1.5,20,11,23.58,0.4,9.5,SM,20
15.277908,120.521475,1.5,20,11,82.9,0.4,9.5,CH,20
15.265678,120.557086,1.5,19.5,7,86.23,0.4,1,CH,20
15.265469,120.557034,1.5,20,10,82.34,0.4,1,CH,20
15.278801,120.521966,1.5,20,12,86.36,0.4,2,CH,27.5
15.278521,120.521958,1.5,21,19,83.75,0.4,2,CH,27.5
15.412247,120.6778943,1.5,21,20,54.72,0.35,3,ML,27.5
15.412208,120.6779764,1.5,21,22,55.99,0.35,3,ML,27.5
15.412146,120.6780798,1.5,21,23,54.83,0.35,3,ML,27.5
15.399089,120.718261,1.5,21,23,64.07,0.34,3,MH,27.5
15.399174,120.718278,1.5,21,24,66.36,0.34,3,MH,20
15.278117,120.520837,1.5,20,12,66.47,0.4,3,MH,27.5
15.277977,120.520838,1.5,21,15,80,0.4,3,CH,27.5
